,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,nasdaq_open,nasdaq_high,nasdaq_low,nasdaq_close,nasdaq_volume
2021-01-20 04:00:00,35062.49,35909.95,34737.0,35677.14,14008.503787,,,,,,13050.4,13069.6,13033.8,13060.9,0.0
2021-01-20 08:00:00,35672.86,35939.12,34000.0,34426.17,19109.325555,,,,,,13060.1,13102.9,13054.1,13093.4,0.0
2021-01-20 12:00:00,34426.17,35142.18,34020.0,34192.17,16110.185363,,,,,,13094.1,13135.8,13089.6,13134.9,0.0
2021-01-20 16:00:00,34193.11,35311.0,33400.0,35197.12,17678.214489,,,,,,13134.8,13288.3,13134.2,13281.0,0.0
2021-01-20 20:00:00,35197.12,35670.0,34482.75,35468.23,8686.60184,,,,,,13281.2,13340.7,13279.0,13303.6,0.0
2021-01-21 00:00:00,35468.23,35600.0,34230.76,34571.09,10995.708084,,,,,,13297.8,13395.4,13297.8,13367.7,0.0
2021-01-21 04:00:00,34572.42,35019.01,33971.41,34624.27,11645.035984,,,,,,13367.4,13405.5,13361.0,13392.7,0.0
2021-01-21 08:00:00,34624.27,34681.73,32009.68,32208.62,32172.086072,,,,,,13392.4,13396.2,13348.8,13363.9,0.0
2021-01-21 12:00:00,32206.89,32784.31,31037.0,31384.09,34496.344978,,,,,,13363.7,13381.0,13319.4,13331.7,0.0
2021-01-21 16:00:00,31384.19,32751.24,31038.51,32468.66,22066.375705,,,,,,13331.7,13406.3,13297.0,13373.8,0.0
2021-01-21 20:00:00,32468.66,32550.0,30071.0,30850.13,23628.525835,,,,,,13374.1,13437.2,13373.7,13410.9,0.0
2021-01-22 00:00:00,30851.99,31029.79,28850.0,30943.4,46814.392887,,,,,,13406.8,13413.6,13376.1,13384.1,0.0
2021-01-22 04:00:00,30943.4,32152.9,30615.22,30842.45,22771.825982,,,,,,13384.1,13387.3,13346.7,13361.8,0.0
2021-01-22 08:00:00,30846.59,31997.0,30500.0,31710.88,21911.246263,,,,,,13361.2,13372.3,13325.1,13341.7,0.0
2021-01-22 12:00:00,31712.09,32767.44,31286.0,32458.42,21741.698419,,,,,,13342.0,13350.4,13314.8,13336.1,0.0
2021-01-22 16:00:00,32462.79,33655.79,31955.67,33589.52,17631.165195,,,,,,13335.9,13405.6,13334.3,13371.4,0.0
2021-01-22 20:00:00,33589.52,33826.53,32580.0,32945.17,12101.355303,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-23 00:00:00,32950.0,32974.89,32053.33,32365.01,12211.52203,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-23 04:00:00,32365.0,33456.0,32267.07,32931.18,11464.516691,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-23 08:00:00,32931.17,33104.94,31511.24,31645.49,13454.305895,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-23 12:00:00,31643.9,32289.25,31390.16,31877.1,10854.235249,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-23 16:00:00,31877.1,32500.0,31759.65,32348.79,9253.459243,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-23 20:00:00,32348.78,32538.61,31812.5,32078.0,7357.248567,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-24 00:00:00,32078.0,32480.06,31630.0,32480.05,7766.19687,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-24 04:00:00,32480.06,33071.0,32346.44,32801.15,11135.544522,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-24 08:00:00,32797.21,33030.0,32465.0,32833.37,7600.854471,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-24 12:00:00,32833.37,32931.59,31858.68,31957.05,9939.326135,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-24 16:00:00,31956.9,32139.6,30900.0,31306.29,12601.921095,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-24 20:00:00,31306.29,32369.59,31250.26,32259.9,8934.194873,,,,,,13371.7,13410.2,13355.1,13366.5,0.0
2021-01-25 00:00:00,32259.45,33674.48,32175.61,33568.18,14446.517628,,,,,,13382.3,13460.0,13381.3,13452.5,0.0
2021-01-25 04:00:00,33568.17,33797.96,33045.0,33346.95,11224.751779,,,,,,13452.5,13482.8,13452.0,13474.3,0.0
2021-01-25 08:00:00,33347.19,33548.0,32750.09,33185.26,11388.310393,,,,,,13474.3,13511.3,13465.6,13497.8,0.0
2021-01-25 12:00:00,33185.25,34875.0,33050.0,34458.31,21109.742365,,,,,,13497.6,13521.8,13483.4,13495.8,0.0
2021-01-25 16:00:00,34458.31,34600.0,33373.92,33411.54,14607.087725,,,,,,13495.8,13568.3,13203.5,13433.1,0.0
2021-01-25 20:00:00,33411.54,33473.92,31910.0,32254.2,15722.817031,,,,,,13433.4,13497.6,13390.2,13477.3,0.0
2021-01-26 00:00:00,32254.19,32827.33,31458.0,31518.66,13175.066372,,,,,,13465.9,13487.7,13442.2,13459.0,0.0
2021-01-26 04:00:00,31520.25,32312.46,31100.0,31643.61,16200.732868,,,,,,13459.0,13463.2,13392.7,13416.7,0.0
2021-01-26 08:00:00,31643.61,32450.0,31373.0,31796.95,13170.891552,,,,,,13416.7,13470.4,13395.9,13444.8,0.0
2021-01-26 12:00:00,31798.65,31972.73,30837.37,31750.23,17666.57223,,,,,,13445.1,13502.8,13435.3,13492.0,0.0
2021-01-26 16:00:00,31750.24,32403.88,31300.69,32208.33,14712.052128,,,,,,13492.0,13547.0,13441.2,13494.0,0.0
2021-01-26 20:00:00,32208.33,32921.88,31855.71,32467.77,10046.89176,,,,,,13494.3,13614.0,13482.7,13566.1,0.0
2021-01-27 00:00:00,32464.01,32557.29,31568.28,31800.86,10374.370726,,,,,,13559.2,13600.3,13553.7,13565.1,0.0
2021-01-27 04:00:00,31801.27,32030.28,31350.0,31743.33,8094.668192,,,,,,13565.2,13581.6,13549.8,13577.4,0.0
2021-01-27 08:00:00,31743.33,31749.28,30578.94,30639.05,16124.251288,,,,,,13577.4,13586.6,13542.9,13563.9,0.0
2021-01-27 12:00:00,30635.74,31057.0,29241.72,30322.61,26358.946289,,,,,,13564.0,13567.6,13367.9,13408.5,0.0
2021-01-27 16:00:00,30322.59,30948.0,29500.0,30740.33,19597.19007,,,,,,13408.5,13417.1,13186.4,13333.0,0.0
2021-01-27 20:00:00,30731.57,31649.99,30084.24,30366.15,15362.535146,,,,,,13332.8,13344.9,12899.1,13073.6,0.0
2021-01-28 00:00:00,30362.19,31526.78,29842.1,31404.25,14152.379268,,,,,,13047.6,13139.4,12966.6,13120.0,0.0
2021-01-28 04:00:00,31406.9,31876.63,31045.7,31170.53,12487.834284,,,,,,13120.2,13134.1,13023.8,13043.4,0.0
2021-01-28 08:00:00,31170.2,31600.0,30812.26,31437.37,11864.190133,,,,,,13043.5,13056.4,12920.6,12978.6,0.0
2021-01-28 12:00:00,31437.37,32203.38,31161.96,31926.49,18406.774804,,,,,,12978.6,13142.7,12952.7,13134.0,0.0
2021-01-28 16:00:00,31926.49,32747.78,31650.0,32564.71,16889.869122,,,,,,13133.8,13399.4,13128.5,13382.4,0.0
